PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,SEASON_TYPE,GP,MIN,W_PCT,PTS,REB,OREB,DREB,AST,STL,BLK,TOV,PF,FG_PCT,FG3_PCT,FT_PCT,EFG_PCT,TS_PCT,USG_PCT,AST_PCT,AST_TO,AST_RATIO,TM_TOV_PCT,OREB_PCT,DREB_PCT,REB_PCT,OFF_RATING,DEF_RATING,NET_RATING,PACE,PIE,PLUS_MINUS,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_USG_PCT,ON_NET_RATING,OFF_NET_RATING,NET_SWING,CLUTCH_NET_RATING,CLUTCH_MIN,OBPM,DBPM,BPM,VORP,XEFG,SHOTMAKING_OVER_XEFG,XEFG_FGA,BOX_CREATION,OFFENSIVE_LOAD,O_RAPM,D_RAPM,RAPM,RAPM_POSS,O_IPM,D_IPM,IPM,IPM_POSS,WPA
2544,LeBron James,1610612739,CLE,33.0,Playoffs,22,41.9,0.545,34.0,9.1,1.4,7.7,9.0,1.4,1.0,4.3,2.4,0.539,0.342,0.746,0.577,0.619,0.344,0.453,2.11,22.2,10.5,0.035,0.194,0.115,109.7,112.3,-2.6,92.52,0.224,-1.0,108.4,109.6,-1.2,0.352,-2.6,-7.3,4.7,12.5,41.42333333333333,9.08,1.89,10.98,3.01,0.5153,0.0622,510.0,15.0,58.1,,,,,,,,,
202331,Paul George,1610612760,OKC,28.0,Playoffs,6,41.9,0.333,24.7,6.0,0.7,5.3,2.7,1.3,0.7,4.0,2.8,0.408,0.365,0.861,0.488,0.545,0.277,0.111,0.67,9.1,13.7,0.015,0.123,0.068,102.2,106.5,-4.3,97.64,0.105,-3.7,100.9,105.8,-4.9,0.282,-4.3,-5.8,1.5,-10.0,9.881666666666666,0.26,-1.35,-1.09,0.06,0.5022,-0.0065,118.0,4.1,36.6,,,,,,,,,
203081,Damian Lillard,1610612757,POR,27.0,Playoffs,4,40.6,0.0,18.5,4.5,0.8,3.8,4.8,1.3,0.0,4.0,2.0,0.352,0.3,0.882,0.415,0.471,0.241,0.165,1.19,17.0,14.3,0.017,0.105,0.056,106.2,118.6,-12.4,99.86,0.062,-10.5,105.1,119.1,-14.0,0.248,-12.4,12.1,-24.5,-24.0,10.995,-2.51,-3.05,-5.56,-0.15,0.5169,-0.1014,71.0,4.4,35.4,,,,,,,,,
203507,Giannis Antetokounmpo,1610612749,MIL,23.0,Playoffs,7,40.0,0.429,25.7,9.6,1.1,8.4,6.3,1.4,0.9,2.4,4.0,0.57,0.286,0.691,0.587,0.62,0.276,0.282,2.59,21.4,8.3,0.033,0.209,0.129,108.7,109.3,-0.6,93.63,0.183,-1.6,108.2,107.8,0.4,0.281,-0.6,5.0,-5.6,-4.2,16.03,4.86,1.19,6.06,0.57,0.5217,0.07,120.0,7.5,41.3,,,,,,,,,
203076,Anthony Davis,1610612740,NOP,25.0,Playoffs,9,39.8,0.556,30.1,13.4,2.7,10.8,1.7,2.0,2.3,2.6,3.3,0.52,0.273,0.828,0.534,0.584,0.295,0.069,0.65,5.6,8.5,0.066,0.251,0.161,105.8,105.8,-0.1,104.21,0.168,1.0,105.3,104.9,0.4,0.301,-0.1,-7.8,7.7,29.7,11.111666666666666,2.55,0.82,3.37,0.49,0.5123,0.0246,203.0,3.3,36.5,,,,,,,,,
203114,Khris Middleton,1610612749,MIL,26.0,Playoffs,7,39.3,0.429,24.7,5.1,0.1,5.0,3.1,0.9,0.7,2.3,4.3,0.598,0.61,0.737,0.71,0.719,0.237,0.138,1.38,14.0,10.2,0.004,0.132,0.073,111.7,109.2,2.5,92.28,0.144,1.4,111.3,107.7,3.6,0.243,2.5,-9.5,12.0,-10.1,16.17,4.87,-0.6,4.27,0.43,0.4817,0.2345,111.0,6.8,33.8,,,,,,,,,
201566,Russell Westbrook,1610612760,OKC,29.0,Playoffs,6,39.2,0.333,29.3,12.0,1.8,10.2,7.5,1.5,0.0,5.2,3.5,0.398,0.357,0.825,0.444,0.493,0.378,0.391,1.45,17.6,12.2,0.042,0.246,0.141,99.4,106.8,-7.4,99.48,0.176,-6.0,96.9,105.1,-8.2,0.382,-7.4,15.3,-22.7,-10.0,9.881666666666666,2.74,-0.24,2.5,0.27,0.4906,-0.0438,160.0,11.9,58.4,,,,,,,,,
202322,John Wall,1610612764,WAS,27.0,Playoffs,6,39.1,0.333,26.0,5.7,0.5,5.2,11.5,2.3,1.3,4.5,2.7,0.441,0.19,0.851,0.457,0.528,0.325,0.496,2.56,28.4,11.1,0.014,0.142,0.077,110.5,111.3,-0.9,97.58,0.17,-0.5,107.9,111.0,-3.1,0.331,-0.9,-5.0,4.1,9.1,6.448333333333333,4.4,0.73,5.14,0.43,0.5094,-0.0491,126.0,10.8,55.2,,,,,,,,,
203110,Draymond Green,1610612744,GSW,28.0,Playoffs,21,39.0,0.762,10.8,10.6,2.0,8.6,8.1,2.0,1.5,3.0,3.6,0.432,0.266,0.796,0.487,0.529,0.152,0.274,2.71,38.2,14.1,0.055,0.2,0.134,112.6,100.8,11.8,97.43,0.125,8.7,112.5,99.5,13.0,0.154,11.8,6.2,5.6,3.4,21.94333333333333,0.71,3.82,4.54,1.35,0.5456,-0.0586,192.0,4.5,27.6,,,,,,,,,
203468,CJ McCollum,1610612757,POR,26.0,Playoffs,4,38.9,0.0,25.3,2.0,0.0,2.0,3.5,1.3,0.3,2.3,2.8,0.519,0.423,0.769,0.591,0.61,0.241,0.143,1.56,13.5,8.7,0.0,0.059,0.026,108.6,118.9,-10.3,100.95,0.099,-9.0,108.1,119.6,-11.5,0.249,-10.3,-1.1,-9.2,-24.0,10.995,2.87,-1.6,1.27,0.13,0.4992,0.0918,77.0,5.5,35.4,,,,,,,,,
