PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS,SEASON_TYPE
2546,Carmelo Anthony,LAL,2021-10-19,LAL vs. GSW,L,26,9,4,2,0,0,1,0.333,0.5,0.5,-5,Regular Season
200765,Rajon Rondo,LAL,2021-10-19,LAL vs. GSW,L,20,3,0,5,2,0,3,0.25,0.333,,1,Regular Season
201566,Russell Westbrook,LAL,2021-10-19,LAL vs. GSW,L,35,8,5,4,0,0,4,0.308,0.0,,-23,Regular Season
201599,DeAndre Jordan,LAL,2021-10-19,LAL vs. GSW,L,13,2,2,1,1,0,0,1.0,,,2,Regular Season
203076,Anthony Davis,LAL,2021-10-19,LAL vs. GSW,L,39,33,11,2,1,2,0,0.577,0.2,0.286,-2,Regular Season
203145,Kent Bazemore,LAL,2021-10-19,LAL vs. GSW,L,31,8,2,0,0,1,1,0.333,0.25,,10,Regular Season
201950,Jrue Holiday,MIL,2021-10-19,MIL vs. BKN,W,18,12,1,1,1,0,0,0.714,0.5,,17,Regular Season
203114,Khris Middleton,MIL,2021-10-19,MIL vs. BKN,W,31,20,9,3,1,0,1,0.471,0.25,0.75,20,Regular Season
1626192,Pat Connaughton,MIL,2021-10-19,MIL vs. BKN,W,30,20,3,2,1,1,0,0.615,0.444,,0,Regular Season
1630572,Sandro Mamukelashvili,MIL,2021-10-19,MIL vs. BKN,W,7,0,1,1,0,0,0,0.0,,,9,Regular Season
1630686,Georgios Kalaitzakis,MIL,2021-10-19,MIL vs. BKN,W,1,0,2,0,0,0,0,0.0,,,2,Regular Season
201935,James Harden,BKN,2021-10-19,BKN @ MIL,L,31,20,8,8,1,2,4,0.375,0.5,1.0,-20,Regular Season
201949,James Johnson,BKN,2021-10-19,BKN @ MIL,L,21,1,0,2,0,1,0,0.0,0.0,0.5,-6,Regular Season
201988,Patty Mills,BKN,2021-10-19,BKN @ MIL,L,29,21,2,2,1,1,0,0.636,1.0,,7,Regular Season
1627761,DeAndre' Bembry,BKN,2021-10-19,BKN @ MIL,L,4,0,0,0,0,0,0,,,,-9,Regular Season
1628971,Bruce Brown,BKN,2021-10-19,BKN @ MIL,L,4,0,1,0,0,1,0,,,,-9,Regular Season
1629651,Nic Claxton,BKN,2021-10-19,BKN @ MIL,L,24,12,7,0,0,0,0,0.667,,0.0,-15,Regular Season
203952,Andrew Wiggins,GSW,2021-10-19,GSW @ LAL,W,26,12,7,1,1,0,2,0.5,0.4,,-5,Regular Season
1626172,Kevon Looney,GSW,2021-10-19,GSW @ LAL,W,15,7,4,1,1,1,1,0.6,,0.5,-8,Regular Season
2730,Dwight Howard,LAL,2021-10-19,LAL vs. GSW,L,13,5,6,0,0,0,2,0.5,,0.75,-7,Regular Season
202340,Avery Bradley,LAL,2021-10-19,LAL vs. GSW,L,8,6,1,1,0,0,1,0.667,0.667,,1,Regular Season
1629620,Justin Robinson,MIL,2021-10-19,MIL vs. BKN,W,4,3,0,0,0,0,0,0.5,0.5,,11,Regular Season
2738,Andre Iguodala,GSW,2021-10-19,GSW @ LAL,W,23,12,1,2,0,1,0,0.571,0.4,1.0,8,Regular Season
201939,Stephen Curry,GSW,2021-10-19,GSW @ LAL,W,36,21,10,10,3,0,4,0.238,0.25,1.0,4,Regular Season
203110,Draymond Green,GSW,2021-10-19,GSW @ LAL,W,30,6,8,6,1,0,5,0.4,,0.5,-2,Regular Season
1630541,Moses Moody,GSW,2021-10-19,GSW @ LAL,W,6,2,2,0,0,0,0,0.333,,,-1,Regular Season
201572,Brook Lopez,MIL,2021-10-19,MIL vs. BKN,W,28,8,5,0,1,3,0,0.333,0.5,,0,Regular Season
200794,Paul Millsap,BKN,2021-10-19,BKN @ MIL,L,5,0,3,0,0,1,1,,,,-1,Regular Season
203925,Joe Harris,BKN,2021-10-19,BKN @ MIL,L,31,9,2,2,0,0,2,0.333,0.6,,0,Regular Season
1627814,Damion Lee,GSW,2021-10-19,GSW @ LAL,W,29,15,1,2,0,0,0,0.4,0.2,1.0,9,Regular Season
1629308,Juan Toscano-Anderson,GSW,2021-10-19,GSW @ LAL,W,12,6,3,1,0,0,1,0.667,0.5,0.5,7,Regular Season
2544,LeBron James,LAL,2021-10-19,LAL vs. GSW,L,37,34,11,5,1,1,4,0.565,0.455,0.5,-2,Regular Season
201588,George Hill,MIL,2021-10-19,MIL vs. BKN,W,23,1,5,3,0,1,1,0.0,0.0,0.5,-6,Regular Season
1628960,Grayson Allen,MIL,2021-10-19,MIL vs. BKN,W,28,10,4,6,2,0,0,0.3,0.3,1.0,23,Regular Season
201142,Kevin Durant,BKN,2021-10-19,BKN @ MIL,L,30,32,11,4,0,2,1,0.52,0.429,0.5,-20,Regular Season
1628975,Jevon Carter,BKN,2021-10-19,BKN @ MIL,L,19,0,2,0,0,0,1,0.0,0.0,,-29,Regular Season
202357,Nemanja Bjelica,GSW,2021-10-19,GSW @ LAL,W,26,15,11,4,1,0,1,0.857,1.0,1.0,20,Regular Season
203490,Otto Porter Jr.,GSW,2021-10-19,GSW @ LAL,W,12,5,1,0,1,0,1,0.333,0.5,1.0,1,Regular Season
1627780,Gary Payton II,GSW,2021-10-19,GSW @ LAL,W,0,0,0,0,0,0,0,0.0,,,0,Regular Season
1629673,Jordan Poole,GSW,2021-10-19,GSW @ LAL,W,25,20,2,3,1,0,2,0.444,0.364,0.0,2,Regular Season
1628370,Malik Monk,LAL,2021-10-19,LAL vs. GSW,L,19,6,3,1,2,0,1,0.4,0.5,,-10,Regular Season
203507,Giannis Antetokounmpo,MIL,2021-10-19,MIL vs. BKN,W,31,32,14,7,1,2,4,0.48,0.25,0.778,25,Regular Season
203648,Thanasis Antetokounmpo,MIL,2021-10-19,MIL vs. BKN,W,12,6,4,1,0,1,0,0.667,,1.0,8,Regular Season
1629670,Jordan Nwora,MIL,2021-10-19,MIL vs. BKN,W,26,15,6,1,1,1,1,0.462,0.5,,6,Regular Season
200746,LaMarcus Aldridge,BKN,2021-10-19,BKN @ MIL,L,16,1,3,1,0,1,1,0.0,,0.25,2,Regular Season
201933,Blake Griffin,BKN,2021-10-19,BKN @ MIL,L,23,6,5,0,1,0,1,0.4,0.0,1.0,-6,Regular Season
1630560,Cam Thomas,BKN,2021-10-19,BKN @ MIL,L,4,2,0,0,0,0,1,0.0,0.0,1.0,-9,Regular Season
1626224,Cedi Osman,CLE,2021-10-20,CLE @ MEM,L,17,15,2,1,0,0,2,0.833,1.0,0.667,-17,Regular Season
1628374,Lauri Markkanen,CLE,2021-10-20,CLE @ MEM,L,31,10,9,2,1,0,1,0.286,0.286,,-4,Regular Season
202685,Jonas Valančiūnas,NOP,2021-10-20,NOP vs. PHI,L,30,9,12,3,0,1,1,0.158,0.333,1.0,-21,Regular Season
1630184,Kira Lewis Jr.,NOP,2021-10-20,NOP vs. PHI,L,17,5,4,5,1,0,1,0.333,0.5,,1,Regular Season
1627936,Alex Caruso,CHI,2021-10-20,CHI @ DET,W,27,3,3,3,4,2,2,0.2,0.333,,-11,Regular Season
203210,JaMychal Green,DEN,2021-10-20,DEN @ PHX,W,13,2,2,0,1,0,2,0.25,0.0,,-16,Regular Season
203932,Aaron Gordon,DEN,2021-10-20,DEN @ PHX,W,29,12,8,4,0,1,3,0.833,1.0,0.5,22,Regular Season
1629008,Michael Porter Jr.,DEN,2021-10-20,DEN @ PHX,W,34,15,6,5,2,0,2,0.6,0.667,1.0,24,Regular Season
1628464,Daniel Theis,HOU,2021-10-20,HOU @ MIN,L,21,11,5,0,0,0,1,0.667,0.5,1.0,-23,Regular Season
1630224,Jalen Green,HOU,2021-10-20,HOU @ MIN,L,32,9,4,4,1,0,0,0.286,0.167,,-37,Regular Season
1627752,Taurean Prince,MIN,2021-10-20,MIN vs. HOU,W,16,5,3,2,1,0,1,0.333,0.333,1.0,2,Regular Season
1629669,Jaylen Nowell,MIN,2021-10-20,MIN vs. HOU,W,6,2,2,1,0,0,1,0.333,,,-13,Regular Season
1629675,Naz Reid,MIN,2021-10-20,MIN vs. HOU,W,19,5,7,1,1,3,2,0.4,0.0,0.5,-16,Regular Season
203095,Evan Fournier,NYK,2021-10-20,NYK vs. BOS,W,44,32,6,3,4,1,1,0.52,0.462,,11,Regular Season
203944,Julius Randle,NYK,2021-10-20,NYK vs. BOS,W,46,35,8,9,0,3,7,0.444,0.375,1.0,10,Regular Season
1629628,RJ Barrett,NYK,2021-10-20,NYK vs. BOS,W,47,19,5,2,0,2,0,0.545,0.429,0.667,8,Regular Season
1630579,Jericho Sims,NYK,2021-10-20,NYK vs. BOS,W,7,1,1,0,0,0,0,,,0.5,-7,Regular Season
1628976,Wendell Carter Jr.,ORL,2021-10-20,ORL @ SAS,L,19,13,8,1,1,0,0,0.5,1.0,1.0,3,Regular Season
1630181,R.J. Hampton,ORL,2021-10-20,ORL @ SAS,L,26,6,7,3,1,0,2,0.25,0.5,0.5,-22,Regular Season
1627734,Domantas Sabonis,IND,2021-10-20,IND @ CHA,L,39,33,15,2,0,0,6,0.684,0.667,0.75,-1,Regular Season
1630537,Chris Duarte,IND,2021-10-20,IND @ CHA,L,33,27,5,1,1,0,1,0.6,0.667,1.0,7,Regular Season
1630194,Paul Reed,PHI,2021-10-20,PHI @ NOP,W,3,2,0,1,0,0,0,0.333,,,-6,Regular Season
1630198,Isaiah Joe,PHI,2021-10-20,PHI @ NOP,W,13,0,0,0,0,0,2,0.0,0.0,,-7,Regular Season
1630531,Jaden Springer,PHI,2021-10-20,PHI @ NOP,W,2,0,0,0,0,0,0,,,,-6,Regular Season
201580,JaVale McGee,PHX,2021-10-20,PHX vs. DEN,L,15,6,8,0,0,1,3,0.75,,,3,Regular Season
1628969,Mikal Bridges,PHX,2021-10-20,PHX vs. DEN,L,34,16,5,0,1,1,1,0.438,0.333,0.0,-21,Regular Season
1629014,Anfernee Simons,POR,2021-10-20,POR vs. SAC,L,18,11,2,4,0,0,1,0.833,0.5,,-9,Regular Season
1629642,Nassir Little,POR,2021-10-20,POR vs. SAC,L,16,7,3,0,0,0,1,0.6,1.0,,-1,Regular Season
203084,Harrison Barnes,SAC,2021-10-20,SAC @ POR,W,37,36,9,2,2,0,0,0.526,0.727,0.889,6,Regular Season
1627741,Buddy Hield,SAC,2021-10-20,SAC @ POR,W,31,17,6,2,0,0,0,0.556,0.571,0.75,5,Regular Season
203926,Doug McDermott,SAS,2021-10-20,SAS vs. ORL,W,22,12,0,0,0,0,0,0.571,0.667,1.0,7,Regular Season
1627751,Jakob Poeltl,SAS,2021-10-20,SAS vs. ORL,W,30,12,13,7,0,0,1,0.75,,,11,Regular Season
1629234,Drew Eubanks,SAS,2021-10-20,SAS vs. ORL,W,14,2,6,2,0,1,1,0.5,,,15,Regular Season
1630197,Aleksej Pokusevski,OKC,2021-10-20,OKC @ UTA,L,15,0,3,3,1,0,2,0.0,0.0,0.0,-2,Regular Season
1630249,Vít Krejčí,OKC,2021-10-20,OKC @ UTA,L,3,0,1,0,0,0,0,,,,3,Regular Season
