OFF_PLAYER_ID,OFF_PLAYER_NAME,DEF_PLAYER_ID,DEF_PLAYER_NAME,GP,MATCHUP_MIN,PARTIAL_POSS,PLAYER_PTS,MATCHUP_FGM,MATCHUP_FGA,MATCHUP_FG3M,MATCHUP_FG3A,MATCHUP_TOV,SFL,SEASON_TYPE
203083,Andre Drummond,1626167,Myles Turner,4,47.3,220.4,36,14,32,0,0,4,5,Regular Season
1626167,Myles Turner,203083,Andre Drummond,4,42.9,214.3,15,6,17,0,4,1,2,Regular Season
202711,Bojan Bogdanovic,201961,Wayne Ellington,5,45.7,213.8,34,12,25,4,7,4,2,Regular Season
202331,Paul George,203952,Andrew Wiggins,4,41.2,211.7,40,11,39,5,18,3,7,Regular Season
203952,Andrew Wiggins,202331,Paul George,4,46.2,208.4,36,14,29,3,8,2,1,Regular Season
203500,Steven Adams,203497,Rudy Gobert,4,35.9,198.2,41,18,34,0,0,3,2,Regular Season
203500,Steven Adams,203994,Jusuf Nurkić,4,36.5,196.3,28,14,27,0,0,1,0,Regular Season
203497,Rudy Gobert,203500,Steven Adams,4,42.2,195.1,30,14,20,0,0,3,1,Regular Season
203994,Jusuf Nurkić,203500,Steven Adams,4,38.6,194.0,29,13,28,0,2,9,3,Regular Season
1629011,Mitchell Robinson,201577,Robin Lopez,2,41.5,188.3,15,7,10,0,0,0,1,Regular Season
1627732,Ben Simmons,203507,Giannis Antetokounmpo,3,36.1,186.4,15,7,16,0,0,3,1,Regular Season
201152,Thaddeus Young,1627748,Thon Maker,3,40.0,185.8,29,14,20,0,2,5,1,Regular Season
203083,Andre Drummond,202696,Nikola Vučević,4,41.1,179.5,30,14,27,0,1,6,1,Regular Season
201566,Russell Westbrook,1629006,Josh Okogie,4,33.3,177.7,28,12,33,2,10,6,2,Regular Season
201188,Marc Gasol,1626161,Willie Cauley-Stein,4,41.8,177.2,26,10,28,5,13,11,1,Regular Season
201933,Blake Griffin,203932,Aaron Gordon,4,40.5,176.9,52,19,39,4,11,5,5,Regular Season
203954,Joel Embiid,201572,Brook Lopez,3,34.1,176.5,50,19,58,2,17,3,7,Regular Season
202331,Paul George,200782,P.J. Tucker,4,34.5,175.9,44,15,34,8,18,3,3,Regular Season
203507,Giannis Antetokounmpo,201152,Thaddeus Young,4,34.0,174.5,52,24,39,1,6,10,3,Regular Season
1627748,Thon Maker,201152,Thaddeus Young,3,36.5,174.0,6,2,7,2,5,1,0,Regular Season
201580,JaVale McGee,203497,Rudy Gobert,4,36.1,172.7,42,20,37,0,2,3,1,Regular Season
203083,Andre Drummond,201572,Brook Lopez,4,38.7,171.7,25,10,27,0,0,3,3,Regular Season
201961,Wayne Ellington,202709,Cory Joseph,4,36.5,170.7,30,11,20,6,15,2,0,Regular Season
201152,Thaddeus Young,203507,Giannis Antetokounmpo,4,36.1,169.9,12,5,16,1,5,8,1,Regular Season
201935,James Harden,202331,Paul George,4,37.9,169.8,26,8,25,3,15,9,2,Regular Season
202696,Nikola Vučević,203083,Andre Drummond,4,34.2,169.0,44,21,39,2,7,5,0,Regular Season
