PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS,SEASON_TYPE
201143,Al Horford,BOS,2022-10-18,BOS vs. PHI,W,23,6,5,1,0,0,0,0.286,0.4,,8,Regular Season
203943,Noah Vonleh,BOS,2022-10-18,BOS vs. PHI,W,20,2,2,0,1,1,0,0.5,,,7,Regular Season
1631157,Ryan Rollins,GSW,2022-10-18,GSW vs. LAL,W,2,0,1,1,0,0,0,0.0,,,-3,Regular Season
1630346,Matt Ryan,LAL,2022-10-18,LAL @ GSW,L,18,3,1,0,1,0,1,0.25,0.333,,1,Regular Season
200782,P.J. Tucker,PHI,2022-10-18,PHI @ BOS,L,33,6,4,0,0,1,2,0.6,0.0,,-6,Regular Season
1629001,De'Anthony Melton,PHI,2022-10-18,PHI @ BOS,L,21,5,0,0,1,0,0,0.5,0.5,,-13,Regular Season
201933,Blake Griffin,BOS,2022-10-18,BOS vs. PHI,W,8,1,5,1,0,0,0,0.0,0.0,0.5,-5,Regular Season
1628401,Derrick White,BOS,2022-10-18,BOS vs. PHI,W,24,2,3,4,1,0,1,0.333,0.0,0.0,9,Regular Season
1630573,Sam Hauser,BOS,2022-10-18,BOS vs. PHI,W,3,0,0,0,0,0,0,,,,3,Regular Season
2544,LeBron James,LAL,2022-10-18,LAL @ GSW,L,35,31,15,8,0,0,5,0.462,0.3,1.0,-10,Regular Season
203076,Anthony Davis,LAL,2022-10-18,LAL @ GSW,L,36,27,6,0,4,1,3,0.455,0.0,0.778,-21,Regular Season
1629022,Lonnie Walker IV,LAL,2022-10-18,LAL @ GSW,L,29,5,3,5,1,1,2,0.286,0.0,0.5,-13,Regular Season
1629134,Kendrick Nunn,LAL,2022-10-18,LAL @ GSW,L,23,13,3,2,1,0,3,0.556,0.5,,-19,Regular Season
202699,Tobias Harris,PHI,2022-10-18,PHI @ BOS,L,34,18,2,0,3,0,0,0.5,0.5,0.5,-1,Regular Season
203954,Joel Embiid,PHI,2022-10-18,PHI @ BOS,L,37,26,15,5,0,1,6,0.5,0.167,0.778,-13,Regular Season
1626149,Montrezl Harrell,PHI,2022-10-18,PHI @ BOS,L,11,2,0,0,0,1,1,0.333,,,4,Regular Season
1630178,Tyrese Maxey,PHI,2022-10-18,PHI @ BOS,L,38,21,1,2,2,0,1,0.5,0.4,1.0,-6,Regular Season
1627759,Jaylen Brown,BOS,2022-10-18,BOS vs. PHI,W,39,35,3,2,2,1,4,0.583,0.333,1.0,7,Regular Season
1628369,Jayson Tatum,BOS,2022-10-18,BOS vs. PHI,W,39,35,12,4,1,1,3,0.65,0.286,0.778,10,Regular Season
203952,Andrew Wiggins,GSW,2022-10-18,GSW vs. LAL,W,29,20,6,4,1,1,1,0.571,0.571,,25,Regular Season
1626172,Kevon Looney,GSW,2022-10-18,GSW vs. LAL,W,21,7,6,2,1,0,0,0.75,,1.0,30,Regular Season
1629673,Jordan Poole,GSW,2022-10-18,GSW vs. LAL,W,28,12,2,7,2,0,4,0.267,0.222,1.0,1,Regular Season
1630164,James Wiseman,GSW,2022-10-18,GSW vs. LAL,W,17,8,7,0,0,1,0,0.667,,0.0,-11,Regular Season
1630228,Jonathan Kuminga,GSW,2022-10-18,GSW vs. LAL,W,13,0,3,0,0,1,2,0.0,0.0,,-8,Regular Season
201566,Russell Westbrook,LAL,2022-10-18,LAL @ GSW,L,31,19,11,3,1,0,4,0.583,0.333,0.8,-6,Regular Season
203935,Marcus Smart,BOS,2022-10-18,BOS vs. PHI,W,36,14,3,7,1,0,1,0.375,0.25,0.875,0,Regular Season
1629684,Grant Williams,BOS,2022-10-18,BOS vs. PHI,W,24,15,1,1,0,0,0,1.0,1.0,0.667,-3,Regular Season
201939,Stephen Curry,GSW,2022-10-18,GSW vs. LAL,W,33,33,6,7,4,1,4,0.455,0.308,1.0,20,Regular Season
203210,JaMychal Green,GSW,2022-10-18,GSW vs. LAL,W,23,8,7,0,1,0,0,0.5,0.667,,-3,Regular Season
201976,Patrick Beverley,LAL,2022-10-18,LAL @ GSW,L,25,3,2,2,4,2,1,0.2,0.2,,-5,Regular Season
1629117,Wenyen Gabriel,LAL,2022-10-18,LAL @ GSW,L,8,0,1,1,0,0,0,0.0,,0.0,0,Regular Season
1631108,Max Christie,LAL,2022-10-18,LAL @ GSW,L,2,3,1,0,0,0,0,1.0,1.0,,3,Regular Season
