PLAYER_ID,HX,HY,FGA,FGM,FG3A,FG3M,SEASON_TYPE
0,0.0,0.0,39735,29097,0,0,Regular Season
0,21.7,37.5,14090,7363,0,0,Regular Season
0,-21.7,37.5,12668,6454,0,0,Regular Season
0,0.0,75.0,6822,3174,0,0,Regular Season
0,-129.9,225.0,5711,1998,5711,1998,Regular Season
0,-216.5,0.0,5575,2161,5438,2104,Regular Season
0,129.9,225.0,5557,1940,5557,1940,Regular Season
0,43.3,0.0,5180,2713,0,0,Regular Season
0,238.2,37.5,4665,1790,4664,1790,Regular Season
0,-43.3,0.0,4617,2379,0,0,Regular Season
0,216.5,0.0,4353,1712,4265,1677,Regular Season
0,-238.2,37.5,4262,1658,4262,1658,Regular Season
0,-21.7,262.5,4122,1492,4122,1492,Regular Season
0,21.7,262.5,4055,1493,4055,1493,Regular Season
0,-194.9,187.5,3926,1405,3926,1405,Regular Season
0,-151.6,187.5,3580,1267,3519,1254,Regular Season
0,65.0,262.5,3263,1097,3263,1097,Regular Season
0,43.3,75.0,3218,1375,0,0,Regular Season
0,194.9,187.5,3139,1122,3139,1122,Regular Season
0,-65.0,262.5,3082,1067,3082,1067,Regular Season
0,65.0,37.5,2975,1234,0,0,Regular Season
0,21.7,112.5,2975,1400,0,0,Regular Season
0,-216.5,150.0,2948,1089,2948,1089,Regular Season
0,-21.7,112.5,2911,1371,0,0,Regular Season
0,151.6,187.5,2873,990,2817,968,Regular Season
0,-43.3,75.0,2841,1249,0,0,Regular Season
0,216.5,150.0,2478,874,2478,874,Regular Season
0,-173.2,225.0,2399,810,2399,810,Regular Season
0,86.6,225.0,2399,821,2349,804,Regular Season
0,-65.0,37.5,2398,994,0,0,Regular Season
0,-86.6,225.0,2384,889,2327,870,Regular Season
0,-108.3,262.5,2159,697,2159,697,Regular Season
0,108.3,262.5,2120,686,2120,686,Regular Season
0,173.2,225.0,2013,688,2013,688,Regular Season
0,0.0,150.0,1919,882,0,0,Regular Season
0,216.5,75.0,1839,713,1798,698,Regular Season
0,65.0,112.5,1789,779,0,0,Regular Season
0,-65.0,112.5,1691,751,0,0,Regular Season
0,238.2,112.5,1442,515,1442,515,Regular Season
0,-216.5,75.0,1413,538,1340,505,Regular Season
0,-238.2,112.5,1410,514,1410,514,Regular Season
0,86.6,75.0,1245,544,0,0,Regular Season
0,-86.6,75.0,1091,464,0,0,Regular Season
0,-43.3,150.0,1054,458,0,0,Regular Season
0,86.6,150.0,1051,434,0,0,Regular Season
0,-108.3,37.5,1029,434,0,0,Regular Season
0,-86.6,150.0,1028,460,0,0,Regular Season
0,43.3,150.0,1004,461,0,0,Regular Season
0,108.3,37.5,985,431,0,0,Regular Season
0,108.3,112.5,868,396,0,0,Regular Season
0,-108.3,112.5,830,324,0,0,Regular Season
0,86.6,0.0,829,333,0,0,Regular Season
0,-238.2,-37.5,817,317,817,317,Regular Season
0,-173.2,150.0,741,289,636,248,Regular Season
0,-86.6,0.0,716,326,0,0,Regular Season
0,-129.9,0.0,697,304,0,0,Regular Season
0,129.9,0.0,683,320,0,0,Regular Season
0,-151.6,262.5,663,227,663,227,Regular Season
