CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS,DEFENSE_CATEGORY,SEASON_TYPE,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,PLUSMINUS,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,FGM_LT_06,FGA_LT_06,LT_06_PCT,NS_LT_06_PCT,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,FGM_GT_15,FGA_GT_15,GT_15_PCT,NS_GT_15_PCT
201572,Brook Lopez,1610612749,MIL,C,36.0,79,79,1.0,835.0,1751.0,0.477,0.498,-0.021,Overall,Regular Season,,,,,,,,,,,,,,,,,,,,,
203999,Nikola Jokić,1610612743,DEN,C,29.0,78,78,1.0,796.0,1559.0,0.511,0.505,0.005,Overall,Regular Season,,,,,,,,,,,,,,,,,,,,,
203497,Rudy Gobert,1610612750,MIN,C,32.0,76,76,1.0,626.0,1440.0,0.435,0.495,-0.06,Overall,Regular Season,,,,,,,,,,,,,,,,,,,,,
203076,Anthony Davis,1610612747,LAL,F-C,31.0,76,76,1.0,679.0,1438.0,0.472,0.495,-0.023,Overall,Regular Season,,,,,,,,,,,,,,,,,,,,,
1627734,Domantas Sabonis,1610612758,SAC,F-C,28.0,82,82,1.0,683.0,1407.0,0.485,0.505,-0.019,Overall,Regular Season,,,,,,,,,,,,,,,,,,,,,
1631096,Chet Holmgren,1610612760,OKC,C-F,22.0,82,82,1.0,605.0,1329.0,0.455,0.499,-0.044,Overall,Regular Season,,,,,,,,,,,,,,,,,,,,,
1628386,Jarrett Allen,1610612739,CLE,C,26.0,76,76,1.0,624.0,1278.0,0.488,0.5,-0.012,Overall,Regular Season,,,,,,,,,,,,,,,,,,,,,
1630166,Deni Avdija,1610612764,WAS,F,23.0,75,75,1.0,596.0,1255.0,0.475,0.479,-0.004,Overall,Regular Season,,,,,,,,,,,,,,,,,,,,,
202696,Nikola Vučević,1610612741,CHI,C,33.0,75,75,1.0,607.0,1228.0,0.494,0.5,-0.006,Overall,Regular Season,,,,,,,,,,,,,,,,,,,,,
1629651,Nic Claxton,1610612751,BKN,C,25.0,70,70,1.0,558.0,1196.0,0.467,0.487,-0.02,Overall,Regular Season,,,,,,,,,,,,,,,,,,,,,
1629632,Coby White,1610612741,CHI,G,24.0,78,78,1.0,605.0,1196.0,0.506,0.468,0.038,Overall,Regular Season,,,,,,,,,,,,,,,,,,,,,
1630559,Austin Reaves,1610612747,LAL,G,26.0,82,82,1.0,589.0,1192.0,0.494,0.468,0.027,Overall,Regular Season,,,,,,,,,,,,,,,,,,,,,
203994,Jusuf Nurkić,1610612756,PHX,C,29.0,76,76,1.0,563.0,1191.0,0.473,0.498,-0.026,Overall,Regular Season,,,,,,,,,,,,,,,,,,,,,
1630578,Alperen Sengun,1610612745,HOU,C,21.0,63,63,1.0,585.0,1189.0,0.492,0.499,-0.007,Overall,Regular Season,,,,,,,,,,,,,,,,,,,,,
1641705,Victor Wembanyama,1610612759,SAS,F-C,20.0,71,71,1.0,548.0,1187.0,0.462,0.504,-0.042,Overall,Regular Season,,,,,,,,,,,,,,,,,,,,,
1626167,Myles Turner,1610612754,IND,C-F,28.0,77,77,1.0,568.0,1155.0,0.492,0.499,-0.007,Overall,Regular Season,,,,,,,,,,,,,,,,,,,,,
1628960,Grayson Allen,1610612756,PHX,G,28.0,75,75,1.0,527.0,1152.0,0.457,0.47,-0.013,Overall,Regular Season,,,,,,,,,,,,,,,,,,,,,
