PLAYER_ID,HX,HY,FGA,FGM,FG3A,FG3M,SEASON_TYPE
0,0.0,0.0,40662,29682,0,0,Regular Season
0,21.7,37.5,14837,7596,0,0,Regular Season
0,-21.7,37.5,13366,6672,0,0,Regular Season
0,0.0,75.0,6536,2945,0,0,Regular Season
0,129.9,225.0,5839,2123,5839,2123,Regular Season
0,-129.9,225.0,5713,2108,5713,2108,Regular Season
0,-216.5,0.0,5442,2154,5332,2101,Regular Season
0,43.3,0.0,5191,2679,0,0,Regular Season
0,-43.3,0.0,4702,2388,0,0,Regular Season
0,216.5,0.0,4359,1762,4268,1721,Regular Season
0,238.2,37.5,4279,1653,4278,1653,Regular Season
0,-238.2,37.5,3983,1528,3981,1528,Regular Season
0,-21.7,262.5,3868,1415,3868,1415,Regular Season
0,-194.9,187.5,3711,1354,3711,1354,Regular Season
0,21.7,262.5,3612,1289,3612,1289,Regular Season
0,-151.6,187.5,3275,1183,3224,1163,Regular Season
0,65.0,37.5,3060,1278,0,0,Regular Season
0,43.3,75.0,3012,1312,0,0,Regular Season
0,65.0,262.5,2990,1080,2990,1080,Regular Season
0,194.9,187.5,2981,1109,2981,1109,Regular Season
0,151.6,187.5,2980,1102,2921,1080,Regular Season
0,-43.3,75.0,2858,1234,0,0,Regular Season
0,21.7,112.5,2802,1273,0,0,Regular Season
0,-65.0,262.5,2793,992,2793,992,Regular Season
0,-216.5,150.0,2665,937,2665,937,Regular Season
0,-21.7,112.5,2623,1213,0,0,Regular Season
0,-65.0,37.5,2527,1047,0,0,Regular Season
0,-173.2,225.0,2404,848,2404,848,Regular Season
0,86.6,225.0,2328,846,2269,823,Regular Season
0,-86.6,225.0,2264,824,2211,808,Regular Season
0,216.5,150.0,2177,807,2177,807,Regular Season
0,173.2,225.0,1957,680,1957,680,Regular Season
0,-108.3,262.5,1927,676,1927,676,Regular Season
0,0.0,150.0,1926,891,0,0,Regular Season
0,108.3,262.5,1881,684,1881,684,Regular Season
0,65.0,112.5,1781,838,0,0,Regular Season
0,216.5,75.0,1648,631,1611,621,Regular Season
0,-65.0,112.5,1586,721,0,0,Regular Season
0,86.6,150.0,1329,530,0,0,Regular Season
0,238.2,112.5,1303,462,1303,462,Regular Season
0,-216.5,75.0,1246,462,1189,434,Regular Season
0,-86.6,75.0,1186,495,0,0,Regular Season
0,86.6,75.0,1185,526,0,0,Regular Season
0,-238.2,112.5,1167,423,1167,423,Regular Season
0,-86.6,150.0,1129,495,0,0,Regular Season
0,43.3,150.0,1114,499,0,0,Regular Season
0,108.3,37.5,1065,455,0,0,Regular Season
0,-108.3,37.5,1056,430,0,0,Regular Season
0,-43.3,150.0,1031,464,0,0,Regular Season
0,108.3,112.5,1015,421,0,0,Regular Season
